id,pregunta,opciones,correcta,tema
T5-060,"En España, la red de trenes puede ser de larga distancia, de media distancia y…",de cercanías||rural||transnacional,1,
T5-061,¿Qué está prohibido en la puerta de un colegio?,Fumar un cigarrillo||Conducir un coche||Vender refrescos,1,
T5-062,¿Qué título se obtiene al finalizar un ciclo de grado medio de Formación Profesional?,Bachiller||Técnico||Graduado en ESO,2,
T5-063,¿Qué título se obtiene tras realizar una tesis doctoral en España?,Máster||Graduado||Doctor,3,
T5-064,¿Dónde se compran las medicinas con receta?,En el hospital||En el centro de salud||En la farmacia,3,
T5-065,¿Cuál de estas tres recomendaciones podemos encontrar en un parque?,No pisar el césped||Se recomienda pagar el billete con el dinero justo||Respetar las normas sobre equipaje,1,
T5-066,¿Cuál de las siguientes cosas es obligatoria para el propietario de un coche en España?,El garaje||El seguro||La alarma,2,
T5-067,El aeropuerto Adolfo Suárez está en…,Barcelona||Madrid||Bilbao,2,
T5-068,En un coche es obligatorio el uso del cinturón de seguridad...,solo en el asiento del conductor||en los asientos delanteros||en todos los asientos,3,
T5-069,¿Cuál es el límite de velocidad en autopista?,90 km/h||120 km/h||150 km/h,2,
T5-070,Ceder el asiento a las personas con movilidad reducida es una norma que encontramos indicada en…,el transporte público||las bibliotecas||los museos,1,
T5-071,¿Cuál es el medio de transporte público que tiene una luz verde encendida si está libre?,El autobús||El taxi||El tranvía,2,
T5-072,¿Qué debes hacer si tienes un perro?,Pasearlo sin correa||Ponerle un microchip y vacunarlo||No recoger sus excrementos,2,
T5-073,Los españoles necesitan el pasaporte para viajar a…,Italia||China||Alemania,2,
T5-074,¿Cuál es la edad mínima para trabajar en España?,16 años||18 años||21 años,1,
T5-075,¿Cuál es el sector de mayor peso en la economía española?,Agricultura||Servicios||Construcción,2,
T5-076,España es innovadora en el sector de…,la ingeniería aeroespacial||las energías renovables||la energía nuclear,2,
T5-077,¿Cómo se llama la ley laboral más importante de España?,La Constitución||El Estatuto de los Trabajadores||El Servicio Público de Empleo Estatal,2,
T5-078,¿Cuál de estos establecimientos está abierto 24 horas si es necesario?,Farmacia||Pescadería||Librería,1,
T5-079,La educación infantil en España…,es obligatoria||tiene dos ciclos||empieza a los 4 años,2,
T5-080,¿Cuándo empieza el calendario escolar?,En agosto||En septiembre||En octubre,2,
T5-081,Las Escuelas Oficiales de Idiomas…,son centros de enseñanza privada||son para mayores de 16 años||dependen del Instituto Cervantes,2,
T5-082,¿Cuál es el documento que recoge los años de cotización a la Seguridad Social?,Informe de vida laboral||Recibo de finiquito||Certificado de profesionalidad,1,
T5-083,Los convenios colectivos de una empresa son los que se firman con los representantes de los trabajadores sobre…,las condiciones laborales||el futuro de la empresa||la relación con los clientes,1,
T5-084,¿En cuál de estos sectores destaca España?,En el turismo||En la industria automovilística||En tecnología digital,1,
