id,pregunta,opciones,correcta,tema
T1-035,"Las instituciones de una comunidad autónoma son: el consejo de gobierno, el presidente y…",el ayuntamiento||la asamblea legislativa||la delegación de gobierno,2,
T1-036,¿Cuál de estas opciones es una lengua cooficial en alguna comunidad autónoma?,El gallego||El aragonés||El murciano,1,
T1-037,¿Qué institución tiene como fin la promoción de la enseñanza de la lengua española y la difusión de la cultura en español?,El Instituto Nacional de Administración Pública||El Instituto Nacional de Estadística||El Instituto Cervantes,3,
T1-038,¿Cuál de los siguientes organismos trabaja para conseguir la normalización lingüística?,El Institut Ramon Llull||El Instituto Cervantes||La Real Academia Española,3,
T1-039,¿Dónde vive el presidente del Gobierno?,En el Palacio Real||En el Palacio de la Zarzuela||En el Palacio de la Moncloa,3,
T1-040,¿Cuál de los siguientes cuerpos forma parte de las Fuerzas Armadas de España?,La Policía Foral||La Guardia Civil||El Ejército del Aire,3,
T1-041,¿Quiénes forman parte del Gobierno?,Los ministros||Los concejales||Los alcaldes,1,
T1-042,España es un…,estado social y democrático de Derecho||estado libre asociado||estado confederado,1,
T1-043,¿Cuál de las siguientes siglas corresponde a un partido político?,PP||PIB||UE,1,
T1-044,"¿Qué título tiene la futura reina, hija del rey?",Princesa de Asturias||Princesa de Aragón||Duquesa de Alba,1,
T1-045,¿Con qué rey se restaura la democracia en España después del régimen de Franco?,Con Carlos III||Con Alfonso XIII||Con Juan Carlos I,3,
T1-046,¿En qué año se aprobó la Constitución española?,En 1957||En 1978||En 2001,2,
T1-047,¿Cuántas comunidades autónomas tienen su propia bandera?,Ninguna||Todas||Las que tienen una lengua cooficial,2,
T1-048,¿Qué organismo oficial atiende las quejas de los ciudadanos por el mal funcionamiento de las administraciones?,La Oficina de Atención al Consumidor||La Policía Nacional||El Defensor del Pueblo,3,
T1-049,"¿Cuántas firmas, como mínimo, deben recoger los ciudadanos para poder presentar una proposición de ley?",250 000||100 000||500 000,3,
T1-050,¿A cuál de las siguientes organizaciones internacionales pertenece España?,Comunidad de Estados Independientes (CEI)||Fondo Monetario Internacional (FMI)||Unión Económica Euroasiática (UEE),2,
T1-051,"En la organización de la Administración se distinguen tres niveles: central, autonómica y…",estatal||regional||local,3,
T1-052,El poder legislativo corresponde...,al presidente y los ministros||a los jueces y magistrados||a los diputados y senadores,3,
T1-053,¿Dónde vive el rey?,En el Palacio de la Moneda||En el Palacio de la Zarzuela||En el Palacio de la Moncloa,2,
T1-054,El nombre oficial del parlamento español es…,Cortes Generales||Congreso de los Diputados||Senado,1,
T1-055,"El Instituto de Comercio Exterior de España, el Instituto de las Mujeres y la Dirección General de Tráfico…",son organismos autónomos||dependen de ministerios||son organismos internacionales,2,
T1-056,¿Quién puede reinar en España?,Solo los hombres||Solo las mujeres||Tanto los hombres como las mujeres,3,
T1-057,El Tribunal de Cuentas depende de…,la Presidencia del Gobierno||las Cortes Generales||el Ministerio de Hacienda,2,
T1-058,"¿Quién es la tercera autoridad del Estado, después del rey y el presidente del Gobierno?",El presidente del Senado||El ministro de Economía||El presidente del Congreso de los Diputados,3,
T1-059,¿Qué lengua cooficial se habla en las Islas Baleares?,Gallego||Catalán||Euskera,2,
T1-060,"La Constitución defiende valores tales como la libertad, la igualdad, el pluralismo político y…",la justicia||la solidaridad||la fraternidad,1,
T1-061,"Cuando una ley ya está aprobada, ¿qué necesita para poder aplicarse?",Nada||Normas que la desarrollen||Ser revisada por el Parlamento,2,
T1-062,¿Cuántos habitantes hay en España?,95 millones||49 millones||67 millones,2,
T1-063,¿Cuál de estos es un órgano consultivo del Gobierno de España?,El Parlamento Europeo||El Consejo de Estado||El Tribunal Constitucional,2,
T1-064,¿Quién dirige la política interior y exterior de España?,El rey||El Gobierno||El Congreso de los Diputados,2,
T1-065,El Defensor del Pueblo depende de…,el Consejo de Ministros||el Tribunal de Cuentas||las Cortes Generales,3,
T1-066,El Instituto Etxepare tiene como misión la difusión del…,euskera y la cultura vasca||bable y la cultura cántabra||gallego y la cultura galaica,1,
T1-067,¿Cuál de estas ciudades se encuentra entre las 10 más pobladas de España?,Cádiz||Málaga||Albacete,2,
T1-068,¿Quién puede realizar trámites en línea ante la Administración Pública?,Jueces y magistrados||Cualquier ciudadano||Abogados colegiados,2,
T1-069,¿Cómo se llama el rey de España?,Juan Carlos I||Felipe VI||Alfonso XIII,2,
T1-070,¿Cómo se llama el órgano de gobierno de los jueces y magistrados?,Tribunal Supremo||Consejo General del Poder Judicial||Consejo de Estado,2,
T1-071,¿Quién aprueba los presupuestos generales del Estado?,Las Cortes Generales||El Tribunal de Cuentas||El Gobierno de España,1,
T1-072,La Constitución española es…,la ley fundamental||parte de otra ley||una ley secundaria,1,
T1-073,Las Cortes Generales están compuestas por el Senado y…,el Congreso de los Diputados||el Tribunal Supremo||el Consejo de Estado,1,
T1-074,¿Quién elabora las leyes?,El poder ejecutivo||El poder legislativo||El poder judicial,2,
T1-075,La defensa de la integridad territorial de España corresponde a…,la Policía Nacional y la Guardia Civil||las Fuerzas Armadas||la Policía Nacional y las policías autonómicas,2,
T1-076,El Ejército español participa desde 1989 en misiones de paz de la…,Organización de Estados Iberoamericanos (OEI)||Unión Europea Occidental (UEO)||Organización de las Naciones Unidas (ONU),3,
T1-077,"¿Quién vigila puertos y aeropuertos, fronteras y costas?",La Guardia Civil||La Policía local||La Policía Nacional,1,
T1-078,¿Quién hace el control de pasaportes en las fronteras de España?,La Guardia Civil||La Policía local||La Policía Nacional,3,
T1-079,¿Cuál de los siguientes políticos ha sido presidente del Gobierno en España?,Manuel Fraga||José María Aznar||Yolanda Díaz,2,
T1-080,¿Cómo se llama la policía autonómica de Cataluña?,Guardia Civil||Ertzaintza||Mossos d'Esquadra,3,
T1-081,¿Cómo se llama la policía autonómica del País Vasco?,Ertzaintza||Guardia Civil||Mossos d'Esquadra,1,
T1-082,¿Desde qué año es rey Felipe VI?,Desde 1975||Desde 2014||Desde 2020,2,
T1-083,¿Quién regula el tráfico en los pueblos y ciudades?,La Guardia Civil||Protección Civil||La Policía Local,3,
T1-084,¿Quién puede presentar una queja al Defensor del Pueblo?,"Solo los ciudadanos legalmente residentes||Solo los españoles mayores de 18 años||Todos los ciudadanos, españoles o extranjeros",3,
T1-085,En España el voto en las elecciones es…,un derecho||un deber||una obligación,1,
T1-086,¿Quién vigila el tráfico en las carreteras?,La Guardia Civil||La Policía Nacional||El Ejército de Tierra,1,
T1-087,¿Qué organismo se encarga de recaudar los impuestos?,El Tribunal de Cuentas||La Agencia Tributaria||El Consejo Económico y Social,2,
T1-088,¿Dónde se publican las leyes nacionales?,En el boletín del Instituto Nacional de Estadística (INE)||En el Portal de la Administración Electrónica (PAe)||En el Boletín Oficial del Estado (BOE),3,
T1-089,¿Cómo se llaman los órganos de gobierno que solo existen en Canarias?,Cabildos||Consejos insulares||Diputaciones,1,
T1-090,¿Cuál de estos trámites administrativos puede realizarse en la sede electrónica?,Tramitar el DNI||Renovar el pasaporte||Pagar los impuestos,3,
T1-091,¿Cuál es el número de teléfono de información de la Administración General del Estado?,010||060||091,2,
T1-092,España está organizada en…,cantones||comunidades autónomas||estados federales,2,
T1-093,¿Cuántos partidos políticos hay en España?,Ninguno||Uno||Muchos,3,
T1-094,¿Dónde tiene lugar la investidura del presidente del Gobierno?,En el Palacio de la Moncloa||En el Congreso de los Diputados||En el Senado,2,
T1-095,¿Quién tiene el mando supremo de las Fuerzas Armadas?,El rey||El presidente del Gobierno||El ministro de Defensa,1,
T1-096,¿Quién es el representante del Estado en una comunidad autónoma?,El presidente de la comunidad autónoma||El delegado del Gobierno||El presidente de la Asamblea autonómica,2,
T1-097,¿Cuántas provincias hay en España?,45||50||55,2,
T1-098,La enseñanza de las lenguas cooficiales es competencia…,del Estado||de la comunidad autónoma||de la provincia,2,
T1-099,El poder ejecutivo corresponde…,al Gobierno del Estado||al Congreso y al Senado||a los jueces y magistrados,1,
T1-100,¿Cuántas cámaras hay en el Parlamento español?,Una||Dos||Tres,2,
T1-101,El suministro de agua y el alumbrado de las ciudades es competencia de…,el ayuntamiento||el Gobierno autonómico||el Ministerio de Obras Públicas y Urbanismo,1,
T1-102,"En materias como nacionalidad, inmigración, emigración o extranjería solo tiene competencia…",el Estado||las comunidades autónomas||los ayuntamientos,1,
T1-103,¿Cuántas mujeres han sido presidentas de Gobierno en España?,Ninguna||Una||Dos,1,
T1-104,Las relaciones internacionales son competencia de…,el Estado||las comunidades autónomas||los ayuntamientos,1,
T1-105,El Ayuntamiento está formado por el alcalde y…,los concejales||los diputados||los senadores,1,
T1-106,¿Quiénes forman el gobierno de las comunidades autónomas?,El presidente y los ministros||El alcalde y los concejales||El presidente y los consejeros,3,
T1-107,¿Cuál es el órgano de gobierno en los municipios?,El ayuntamiento||La diputación||El cabildo,1,
T1-108,¿Cómo se llaman los órganos de gobierno de las provincias españolas?,Cabildos||Consejos insulares||Diputaciones,3,
T1-109,¿Cuál es el órgano superior del poder ejecutivo?,El Gobierno||Las Fuerzas Armadas||Las Cortes Generales,1,
T1-110,El idioma español también se llama…,aragonés||castellano||leonés,2,
T1-111,¿A quiénes se elige en las elecciones al Parlamento Europeo?,A los ministros europeos||A los consejeros delegados||A los eurodiputados,3,
T1-112,Los españoles pueden votar a partir de los…,16 años||18 años||21 años,2,
T1-113,Algunos ciudadanos extranjeros pueden votar en las elecciones…,municipales||autonómicas||generales,1,
T1-114,¿Quién controla la gestión financiera del Estado?,El Banco de España||La Agencia Tributaria||El Tribunal de Cuentas,3,
T1-115,¿A quiénes se elige en las elecciones generales?,A los senadores y diputados||A los eurodiputados||A los concejales,1,
T1-116,¿Cuántos miembros tiene el Congreso de los Diputados?,300||350||400,2,
T1-117,Los municipios y provincias forman parte de la Administración…,autonómica||local||central,2,
T1-118,La comunidad autónoma más poblada de España es…,Andalucía||Cataluña||Castilla y León,1,
T1-119,¿Cómo se llama la organización que defiende los intereses de los trabajadores?,Asociación||Partido||Sindicato,3,
T1-120,¿Quién elige al presidente del Gobierno?,El Congreso de los Diputados||El rey||El Tribunal Supremo,1,
